metric,lens,percentile,elite90_flag,low15_flag,playbook_lens,stat_category,signal
usage,pos_all,25.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,85.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,29.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,3.1,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,91.7,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,8.9,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,34.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,82.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,68.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,79.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,52.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,3.5,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,59.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,20.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,37.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,34.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,95.7,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,11.8,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,16.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,5.1,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,11.0,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,32.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,23.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,59.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,19.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,30.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,36.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,22.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,83.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,7.2,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,55.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,12.2,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,79.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,3.0,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,30.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,16.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,0.3,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,59.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,67.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,19.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,25.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,16.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,45.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,66.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,16.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,71.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,47.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,18.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,24.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,79.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,63.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,35.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,34.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,56.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,14.9,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,15.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,20.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,28.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,23.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,8.9,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,5.6,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,18.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,39.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,87.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,16.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,14.2,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,21.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,45.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,60.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,23.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,24.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,35.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,57.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,32.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,91.5,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,13.0,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,0.1,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,45.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,27.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,11.1,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,59.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,3.7,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,8.2,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,17.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,17.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,64.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,26.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,32.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,64.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,19.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,38.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,13.7,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,14.6,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,23.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,64.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,19.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,35.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,94.5,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,93.1,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,66.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,78.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,86.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,39.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,98.0,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,81.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,84.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,52.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,98.4,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,91.7,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,52.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,65.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,47.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,94.5,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,74.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,74.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,85.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,62.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,65.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,95.5,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,12.0,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,50.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,76.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,43.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,44.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,64.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,26.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,70.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,4.8,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,60.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,72.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,37.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,85.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,72.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,30.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,54.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,59.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,13.0,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,6.5,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,8.6,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,50.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,26.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,37.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,5.1,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,21.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,31.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,14.5,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,76.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,99.5,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,18.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,13.6,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,42.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,49.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,48.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,33.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,13.7,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,16.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,1.1,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,39.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,22.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,35.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,62.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,3.9,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,4.2,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,28.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,45.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,33.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,22.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,40.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,10.5,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,40.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,31.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,67.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,33.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,7.9,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,57.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,16.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,15.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,39.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,26.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,62.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,74.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,52.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,79.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,75.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,34.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,9.7,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,36.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,11.4,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,61.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,24.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,16.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,20.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,49.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,97.8,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,33.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,27.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,14.8,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,3.5,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,23.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,7.5,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,56.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,9.8,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,18.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,27.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,14.2,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,50.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,90.6,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,87.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,28.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,1.2,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,19.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,98.9,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,50.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,17.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,0.3,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,68.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,55.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,42.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,6.6,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,3.4,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,6.4,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,73.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,16.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,32.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,34.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,58.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,64.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,19.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,88.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,70.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,53.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,43.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,34.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,84.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,81.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,96.4,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,76.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,76.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,84.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,47.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,87.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,93.8,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,55.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,38.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,2.0,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,75.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,49.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,86.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,31.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,82.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,89.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,97.3,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,29.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,73.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,69.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,9.3,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,58.0,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,80.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,55.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,29.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,20.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,20.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,71.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,33.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,36.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,91.1,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,96.0,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,7.6,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,61.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,98.5,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,39.6,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,15.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,68.9,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,0.9,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,52.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,28.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,30.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,82.3,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,85.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,26.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,93.3,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,50.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,27.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,57.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,93.8,1,0,Lineup Optimization,Scoring / Role,ELITE (>=90th)
usage,pos_all,47.1,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,26.5,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,60.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,64.2,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,63.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,0.9,0,1,Lineup Optimization,Scoring / Role,CONCERN (<=15th)
usage,pos_all,31.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,17.7,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,68.4,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,27.8,0,0,Lineup Optimization,Scoring / Role,Neutral
usage,pos_all,44.9,0,0,Lineup Optimization,Scoring / Role,Neutral
